latitude,longitude,municipio,codigo_ibge
-23.5329,-46.6395,São Paulo,3550308
-22.9129,-43.2003,Rio de Janeiro,3304557
-12.9718,-38.5011,Salvador,2927408
-15.7795,-47.9297,Brasília,5300108
-3.71664,-38.5423,Fortaleza,2304400
-19.9102,-43.9266,Belo Horizonte,3106200
-3.11866,-60.0212,Manaus,1302603
-25.4195,-49.2646,Curitiba,4106902
-8.046660000000001,-34.8771,Recife,2611606
-30.0318,-51.2065,Porto Alegre,4314902
-1.4554,-48.4898,Belém,1501402
-16.6864,-49.2643,Goiânia,5208707
-23.4538,-46.5333,Guarulhos,3518800
-22.9053,-47.0659,Campinas,3509502
-2.53874,-44.2825,São Luís,2111300
-22.8268,-43.0634,São Gonçalo,3304904
-9.66599,-35.735,Maceió,2704302
-22.7858,-43.3049,Duque de Caxias,3301702
-5.09194,-42.8034,Teresina,2211001
-5.79357,-35.1986,Natal,2408102
-22.7556,-43.4603,Nova Iguaçu,3303500
-20.4486,-54.6295,Campo Grande,5002704
-23.6914,-46.5646,São Bernardo do Campo,3548708
-7.11509,-34.8641,João Pessoa,2507507
-23.6737,-46.5432,Santo André,3547809
-23.5324,-46.7916,Osasco,3534401
-8.11298,-35.015,Jaboatão Dos Guararapes,2607901
-23.1896,-45.8841,São José Dos Campos,3549904
-21.1699,-47.8099,Ribeirão Preto,3543402
-18.9141,-48.2749,Uberlândia,3170206
-19.9321,-44.0539,Contagem,3118601
-23.4969,-47.4451,Sorocaba,3552205
-10.9091,-37.0677,Aracaju,2800308
-12.2664,-38.9663,Feira de Santana,2910800
-15.601,-56.0974,Cuiabá,5103403
-21.7595,-43.3398,Juiz de Fora,3136702
-26.3045,-48.8487,Joinville,4209102
-23.304,-51.1691,Londrina,4113700
-22.8832,-43.1034,Niterói,3303302
-1.36391,-48.3743,Ananindeua,1500800
-22.764,-43.3992,Belford Roxo,3300456
-21.7622,-41.3181,Campos Dos Goytacazes,3301009
-22.8058,-43.3729,São João de Meriti,3305109
-16.8198,-49.2469,Aparecida de Goiânia,5201405
-29.1629,-51.1792,Caxias do Sul,4305108
-8.760769999999999,-63.8999,Porto Velho,1100205
-27.5945,-48.5477,Florianópolis,4205407
-23.9535,-46.335,Santos,3548500
-23.6677,-46.4613,Mauá,3529401
-20.3417,-40.2875,Vila Velha,3205200
-20.121,-40.3074,Serra,3205002
